	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
A1BG	5.806241	12.961422	9.666709	4.113455	6.188632	1.960959	12.094593	7.588976	10.364671	5.476067	6.618494	13.718657	6.525684	4.854279	10.126461	16.121477	8.762958	5.276784	11.649673	3.240742	3.070385	4.216432
A1BG-AS1	16.845869	1.106083	2.116264	3.181219	5.405012	1.467871	4.962365	2.708796	5.649028	6.337168	11.950341	8.260530	5.096048	1.025888	2.064255	15.160954	2.480171	1.639458	11.982826	1.602046	1.856484	2.910778
A1CF	0.085594	0.015054	0.011644	0.042598	4.025151	0.263882	0.085556	0.056036	0.027136	0.028754	0.014582	0.030219	0.024585	0.047550	0.030208	0.013769	0.021935	0.007123	0.026817	0.109801	0.334571	0.161683
A2ML1	0.054976	0.101844	0.134028	0.043297	0.130865	0.421963	0.095607	0.921117	2.613070	0.097296	0.047265	3.916697	0.130809	0.142249	0.056247	0.218948	0.093535	0.089023	0.067791	0.184068	0.227802	0.330495
AAAS	107.771187	206.988373	164.463043	166.034958	190.648346	12.911786	116.585793	144.750061	215.348312	209.395416	266.107513	114.654396	217.039795	230.424835	227.034454	205.708649	227.453461	155.258743	186.562439	21.289459	16.037169	17.374186
AACS	30.596806	14.920867	45.104073	18.649399	14.927926	4.261360	15.042888	10.971752	6.275905	7.758458	17.599535	47.790436	32.136543	20.466932	37.073536	22.483727	11.586206	10.352036	17.546049	7.200523	7.152253	9.700979
AACSP1	5.910257	12.328834	1.856338	2.932435	20.103394	0.550874	0.566617	5.115288	5.562063	7.666652	7.137931	0.658779	6.377875	16.151655	6.088920	2.307819	5.484942	55.968491	9.649593	3.951920	3.206320	1.844760
AAED1	88.454063	97.931015	77.257103	72.334938	82.421997	4.557307	50.491722	100.411453	120.886696	92.603500	81.392326	85.065765	121.212067	73.055908	84.636406	102.702888	58.060677	105.586662	71.022530	13.054657	11.518091	12.660576
AAGAB	474.951752	559.892883	500.066101	480.078094	452.996460	8.468033	427.184753	560.753723	584.737671	596.664551	620.646606	492.063354	587.740234	422.010864	519.964417	480.874939	467.326630	604.915588	505.726746	32.688946	25.709915	30.008307
AAK1	51.351566	26.581741	66.445847	45.747200	49.803955	3.632174	34.608807	81.672211	59.267284	108.582108	88.541122	79.251343	48.787125	58.391823	56.319435	30.443531	13.941086	44.598518	74.185989	9.725214	8.341080	9.064692
AAMDC	76.899712	66.714272	74.305016	110.241135	89.844055	4.826848	68.705307	38.957909	58.163261	77.943611	111.563278	99.055443	74.495415	120.078423	104.080780	75.073174	49.130756	75.971954	77.415047	14.566513	11.930450	13.565886
AAMP	63.937897	100.098526	94.048569	80.568192	91.590347	9.384695	107.727463	74.480354	127.586365	106.037025	193.773285	81.530807	161.102966	88.600334	103.921844	107.092422	160.433411	159.421143	141.916763	14.903681	10.291511	11.575987
AAR2	43.472717	14.209370	30.768429	52.999733	167.033936	3.448326	36.974133	53.733055	63.175823	77.198151	105.663673	91.398643	134.188141	59.043488	36.934624	38.965618	51.934006	64.929474	60.885494	7.268531	6.356402	6.531230
AARD	0.025772	0.024064	0.022406	0.023431	0.024917	0.274727	0.025411	0.021785	0.023498	0.024117	0.023936	0.022148	0.025698	0.025436	0.026507	0.023117	0.025527	0.023445	0.028354	0.124054	0.142459	0.125256
AARS	602.956177	631.926697	614.498474	575.997803	555.859253	10.036822	493.589661	611.289856	785.613037	680.729614	899.808289	781.282166	820.911560	566.956421	587.824341	648.131714	661.573303	688.041260	602.795776	38.732143	29.440624	36.749111
AARS2	21.344826	4.852570	19.471962	28.282701	23.157219	1.769079	12.244676	5.543022	2.592364	29.252106	29.632618	31.777185	19.636490	4.807570	2.016362	22.313133	22.935066	23.150826	15.480138	2.793994	2.247307	3.355275
AARSD1	71.910896	39.874180	56.960438	28.823563	84.011604	3.436752	106.027313	61.345676	67.239449	99.342186	64.911896	51.973709	155.607391	41.847023	45.643158	95.849106	110.847687	113.985214	182.126923	10.886154	7.211674	8.873999
AASDH	41.838287	58.325428	32.444218	39.184837	92.265442	3.361367	39.328693	52.507015	136.369232	28.536192	53.989731	141.006470	28.734596	66.240761	22.670454	84.569153	82.991631	30.412357	29.131956	7.132089	6.494411	9.089848
AASDHPPT	404.089539	338.619080	441.426514	459.251343	428.395630	10.370062	342.472290	479.105255	525.391602	511.492218	454.475464	518.257690	399.622162	361.943665	387.247681	372.507812	403.943329	412.000946	437.510803	28.328396	23.744061	27.675554
AASS	0.012340	0.025446	0.018937	0.016325	0.011578	0.220789	0.025312	0.013397	0.012677	0.026201	0.020981	0.021709	0.026858	0.020802	0.020344	0.402272	0.019566	0.022797	0.010782	0.115376	0.119935	0.185187
AATBC	0.104200	0.055327	0.072373	0.067005	0.212890	0.756985	4.525018	0.075660	0.033976	0.049046	0.035121	0.093344	0.038513	0.032813	0.059058	1.357142	0.130368	0.044245	0.018959	0.234316	0.348825	0.463925
AATF	312.725708	185.415726	317.528992	229.878204	245.012543	9.591253	262.337189	258.426849	273.666931	331.887573	508.741852	266.979553	381.055115	202.445862	198.735641	223.152527	302.161407	242.540222	354.077515	22.643299	17.019161	20.903542
AATK	0.035854	0.019782	1.188308	0.037090	0.009870	0.472406	0.022042	0.033657	0.027043	0.016810	0.046001	0.022237	0.012464	0.045080	0.022471	0.018114	0.029927	0.013045	0.021241	0.195279	0.177985	0.191838
ABALON	11.176625	10.531616	13.960763	10.971451	5.191018	4.842966	30.292210	9.234776	13.930994	9.636080	16.061611	15.727653	9.485727	16.223478	14.074479	13.515308	6.697602	5.945424	4.867568	5.679662	4.643524	5.351344
ABAT	0.098572	1.046640	0.314085	0.187452	0.085276	0.397879	0.187476	0.213552	4.515131	0.191408	0.587317	0.139363	0.753252	0.855953	0.307682	0.322072	7.459044	12.663589	0.841458	0.824419	0.294810	0.276936
ABCA1	0.034658	0.029134	0.024583	0.022767	0.023924	0.158861	0.012908	0.015696	0.029047	0.033924	0.068029	0.016111	0.074136	0.020107	0.036184	0.013838	0.033074	0.028257	3.467850	0.125440	0.100999	0.084074
ABCA10	0.031584	0.029157	0.026893	0.025263	0.030212	0.305868	0.030011	0.026431	0.025237	0.025508	0.027797	0.025876	0.026998	0.027583	0.029164	0.024280	0.027568	0.024601	0.029480	0.134129	0.155998	0.137200
ABCA11P	5.095570	22.388239	16.301702	10.492489	26.148243	3.518414	27.377989	11.864088	15.652552	7.823905	13.238262	12.142242	28.728910	6.416115	16.995802	20.965658	8.321675	6.934956	16.474348	3.820226	4.161604	4.175764
ABCA12	0.801347	0.011681	0.026481	0.011455	0.022969	0.292172	0.031468	0.015050	0.011334	0.017629	0.044112	0.012070	0.023258	0.016856	0.015143	0.009930	0.009536	0.014421	0.035164	0.195665	0.264223	0.216947
ABCA17P	0.729801	0.172255	0.078120	0.066837	2.968601	1.188708	0.105775	0.084583	3.416282	0.145509	0.058381	0.049748	0.094958	2.389791	1.347761	0.044700	0.139226	0.034671	0.090869	0.984732	1.562882	0.670859
ABCA2	4.607725	0.567400	6.479329	6.322570	2.180297	3.398956	1.534191	3.551599	3.850123	1.389516	6.604761	3.142437	15.440259	1.011134	1.162477	5.647302	1.356402	1.007548	1.994244	1.228657	1.497446	1.757258
ABCA3	28.794178	4.180595	17.729773	22.348124	8.572906	1.604186	5.531085	6.615704	13.490631	5.305478	10.226583	1.469404	21.093510	12.947196	1.836639	5.957283	5.753907	47.459167	12.229732	5.831699	4.729257	2.763522
ABCA4	0.655683	0.227395	14.500497	6.240188	0.124493	1.620895	0.193786	4.792531	2.684746	0.303501	9.539578	0.682153	0.121580	0.317500	0.431652	0.395037	0.546326	0.775131	0.258597	0.499345	0.706045	0.656520
ABCA5	0.484131	0.908627	0.579670	0.219227	0.286472	0.696953	0.610342	4.986943	0.651552	0.199773	17.029333	0.426086	0.724472	0.173086	0.250425	0.297545	1.071352	12.266611	0.878251	0.542418	0.492304	0.418895
ABCA6	0.123364	0.103799	0.279752	20.137144	0.207688	1.262542	0.555354	0.215599	0.048574	0.231805	0.084101	0.179118	0.030238	0.113771	0.193824	0.094743	0.147064	0.097184	0.063529	0.222919	0.529185	0.315436
ABCA7	16.497963	3.240073	4.616673	7.707190	19.492083	3.410062	18.775366	5.351372	19.620991	7.267019	13.920363	1.455197	19.355059	21.852936	6.146839	2.465208	20.222404	10.972234	9.959071	5.659994	4.097434	2.572365
ABCA8	139.820923	50.905769	20.427570	186.857483	111.345596	3.676075	69.296394	64.168831	67.580971	124.700676	70.845802	56.560249	39.824532	37.134201	42.369083	66.676460	43.950264	67.760216	59.721302	8.450953	9.938871	9.136415
ABCA9	0.863794	0.047643	0.076641	0.342376	32.339436	0.570740	0.978787	0.361881	0.113680	0.162593	0.081398	0.147000	0.078506	0.156616	0.161032	0.071554	0.134602	0.029048	0.081895	0.272857	0.907174	0.474189
ABCA9-AS1	0.021964	0.054035	0.060404	0.069744	0.036484	0.709657	0.093607	0.068175	0.106689	0.012406	0.045972	0.024555	0.048017	0.026188	0.058176	0.033008	7.014219	0.056142	0.046991	0.091797	0.086684	0.089461
ABCB1	4.199489	6.392934	3.749470	7.066398	3.857948	0.454700	8.914527	4.563639	3.234874	8.194139	2.252359	31.234814	3.660964	5.157294	2.512998	12.709119	2.838977	29.839928	4.394278	2.891906	2.494387	3.465221
ABCB10	34.792355	83.392685	31.557245	54.184982	40.721321	3.391363	31.928814	62.952366	40.614666	39.052055	81.005684	53.898029	14.930212	28.690634	63.237431	41.143013	57.434948	65.046455	32.496380	6.990069	7.114201	8.057397
ABCB11	0.019222	0.042367	0.018530	0.027769	0.020490	0.624832	0.017583	0.035493	0.017628	0.026653	0.027996	0.011865	0.022561	0.029955	0.757565	0.020981	0.029399	0.013534	0.028069	0.147375	0.232013	0.166861
ABCB4	0.133761	0.057165	0.108018	0.121087	0.179892	0.377680	0.367853	0.170087	0.086572	0.102845	0.027578	9.584161	0.127118	0.086704	0.043751	0.292515	0.076171	0.065273	0.056329	0.189446	0.276895	0.529132
ABCB6	31.596167	13.284094	8.097958	5.677613	7.888083	0.641807	6.636067	12.681191	10.759542	37.247311	14.153170	11.811910	4.966592	9.082597	1.611920	17.162416	2.045323	42.025436	8.688028	4.635339	3.658256	4.252251
ABCB7	94.921120	76.406891	80.452591	57.136497	96.366547	4.263157	77.887329	137.440826	145.357971	46.321922	177.996536	191.565079	75.916039	36.490707	16.940042	109.754761	93.638405	128.366791	50.148853	8.865269	7.678835	10.334202
ABCB8	1.551395	34.294586	4.614845	21.698866	19.982714	2.673651	32.064266	10.611788	16.764727	15.150995	11.375938	30.892292	1.694191	8.390239	12.456143	16.725517	29.866482	7.787652	1.349709	2.087283	2.303740	3.049675
ABCB9	2.998650	0.427250	6.559523	0.253123	0.286819	0.442556	0.277097	2.896569	21.791788	0.696791	0.269154	0.469503	0.173638	1.355082	0.519799	0.300287	0.550928	2.388216	1.625147	1.496037	1.364418	1.048481
ABCC1	16.615431	17.239611	25.776760	26.435089	37.469162	1.928733	17.579103	26.974445	8.215292	33.107716	19.331455	19.516649	27.627995	5.896906	10.898167	16.727499	19.518536	52.520439	33.917652	3.804423	3.641373	3.857157
ABCC10	13.018324	6.854088	23.398024	9.277959	6.244433	5.002126	7.804142	9.565516	16.970196	1.578726	35.438984	8.729363	19.830460	21.050421	8.118681	18.211163	33.896511	20.054935	6.524981	4.943196	3.955893	4.381994
ABCC13	0.025577	0.026994	0.026102	0.025844	0.028142	0.280310	0.025932	0.028688	0.026664	0.023102	0.024031	0.023965	0.026875	0.025810	0.024964	0.022692	0.027449	0.024123	0.028717	0.121101	0.141732	0.122221
ABCC3	0.017457	0.020813	0.049552	1.646721	0.026148	0.326903	0.033452	0.023639	0.014210	0.033111	0.019464	0.025449	0.008455	0.029886	0.034214	0.017019	0.034981	0.021025	0.020838	0.093221	0.153287	0.100794
ABCC4	73.316208	79.673523	52.821861	150.738831	99.049072	4.167127	85.441193	143.240387	76.174942	89.379326	39.737453	135.655884	166.954529	82.801186	52.991985	52.860512	111.480431	152.212219	137.146545	10.245167	8.851131	8.461358
ABCC5	42.221313	35.787853	34.026493	40.437885	34.880886	3.667063	26.477470	37.425182	44.579903	28.895699	12.399224	84.341019	50.112350	30.411953	22.942423	9.087171	144.726654	39.929985	19.830971	5.842962	5.059173	5.481805
ABCC5-AS1	0.013114	0.017098	0.024773	0.009318	0.020583	0.214423	0.013847	0.022405	0.679076	0.017062	0.017836	0.015483	0.012807	0.027857	0.014912	0.012705	0.036079	0.017855	0.020193	0.106909	0.100704	0.081587
ABCC6	0.175504	0.282118	1.052195	0.307250	2.119968	1.094471	0.338475	4.755528	3.235458	0.171930	0.428980	0.303508	0.645578	0.174695	0.516618	0.135804	13.572686	0.378245	6.914780	0.242278	0.320471	0.235444
ABCC6P1	0.013587	1.044654	0.040418	0.015413	0.017546	0.160999	0.019301	0.042705	1.314746	0.037590	0.017374	0.020519	0.027256	0.053446	0.040561	0.021340	0.081889	0.055673	0.039997	0.190036	0.126560	0.110507
ABCC6P2	0.209006	0.113697	5.235990	0.258264	0.092747	0.743373	0.160310	0.177318	0.300061	0.285404	1.974550	3.852772	0.145121	0.231282	0.096292	0.343171	0.095415	0.130459	0.132611	0.513985	0.376634	0.842988
ABCC8	0.122516	9.075470	3.281806	0.197841	0.025572	0.631315	0.091664	0.179058	0.302532	0.415919	0.165415	0.327248	0.158415	1.632879	0.489862	0.399699	0.139665	0.498842	0.217416	1.468014	0.707544	0.920818
ABCC9	0.126557	0.091908	2.193499	0.136362	0.043596	1.161381	0.028131	0.079643	0.123846	0.072812	0.166466	0.111626	3.048660	0.139103	0.133648	0.060451	0.084404	0.061806	4.891999	0.456884	0.295467	0.272578
ABCD1	0.769854	1.060387	1.111073	4.042016	3.153586	1.238405	1.259076	1.957814	1.971063	2.907159	4.885163	0.631800	0.211951	1.554117	4.588043	6.954522	0.394587	1.749298	0.165271	1.149063	1.987103	1.883424
ABCD2	28.476675	0.460597	1.494702	8.408135	3.556604	1.066801	3.167134	0.828051	0.489360	1.800302	0.797280	1.364276	0.505510	1.448104	0.921244	3.077012	0.569136	0.548393	0.556007	1.733576	3.413892	3.208341
ABCD3	107.702087	38.544395	88.222557	139.900146	57.138294	6.968401	53.001488	163.585419	65.282082	35.588715	62.835163	134.546494	120.687126	31.281347	110.885910	25.020252	100.243347	52.819344	204.265045	7.637001	8.959120	8.819248
ABCD4	6.079329	47.240181	24.486700	37.863144	21.135872	1.804677	21.053568	18.235424	23.674463	62.819347	43.683048	34.835011	6.776494	7.624032	12.582314	44.487488	64.833504	23.505859	30.758621	3.105246	2.305037	3.629434
ABCE1	649.930725	616.181763	631.198486	722.033325	637.279053	8.756174	565.817810	736.893738	652.534180	720.269287	651.116882	694.462769	591.533386	531.785095	574.736328	599.737488	660.016479	697.354980	599.063477	36.401360	29.483690	35.604290
ABCF1	272.051239	208.851364	240.967834	249.585281	269.777649	6.023765	204.724136	209.581421	283.411438	334.632874	381.715454	246.485641	296.477783	247.812149	182.615646	291.646484	293.077637	260.141174	328.333435	22.794041	16.431293	20.585323
ABCF2	196.638840	168.750183	184.959457	187.634094	200.831909	6.691111	258.505219	167.843674	197.709259	252.553680	437.013306	212.928757	302.712311	261.107300	236.380692	227.350784	309.358826	345.993286	313.473389	23.925323	16.129484	19.290506
ABCF3	71.509697	11.059395	70.107849	15.791060	46.627422	5.337061	63.080791	42.517059	44.129929	38.445061	81.949615	37.670441	78.661797	45.467899	26.478771	63.793579	58.610386	71.740715	46.738544	9.371852	7.105074	8.802196
ABCG4	0.026752	0.022322	0.018857	0.022509	0.020757	0.170686	0.012679	0.015337	0.023314	0.027660	0.048421	0.012810	0.041830	0.016647	0.029898	0.010263	0.025256	0.019577	1.756195	0.107670	0.092890	0.074197
ABHD1	0.126880	0.155609	0.099094	0.132624	0.111856	0.118447	0.063759	0.064005	0.062405	9.115428	0.122633	0.109957	0.020782	0.187197	0.190305	0.199006	0.017092	0.077655	0.110228	0.358641	0.284380	0.378713
ABHD10	97.290192	29.601662	98.622459	65.855644	107.315559	3.613096	27.453890	57.384361	46.493935	41.091644	73.391617	103.286926	69.379349	61.814022	10.427349	42.211609	39.958405	36.111565	78.898575	8.596282	7.526470	8.780167
ABHD11	26.332901	46.552567	40.114502	30.662916	18.752920	1.871043	15.604195	8.792482	22.212841	49.023796	91.381386	23.378941	24.173286	29.956230	16.088186	43.899094	24.447075	55.882782	46.570892	8.436549	4.906424	6.667354
ABHD12	16.854290	2.752049	26.287813	22.137386	22.254644	3.440235	12.029083	28.874432	25.482601	42.884678	21.191317	12.062303	23.503269	8.246881	13.153330	24.620312	22.577333	15.749002	12.018331	3.712560	3.530878	4.134702
ABHD12B	0.035172	0.052990	0.038139	0.022047	0.040927	1.150852	0.029591	0.942415	0.038262	0.012024	0.073117	0.064469	2.205330	0.018563	0.061937	0.036636	0.059532	0.068832	0.056784	0.099825	0.164285	0.119993
ABHD13	50.751137	49.635437	28.512600	7.667206	70.823982	2.414861	64.316826	91.396164	61.875626	53.393208	13.860937	35.329758	15.077843	82.031715	49.876251	50.136326	79.758629	50.614975	23.700630	9.907165	8.217945	9.345268
ABHD14A	33.004589	7.634147	45.997963	23.631031	8.649669	5.494162	29.928005	30.114977	30.855797	11.479849	68.897293	16.345295	20.933092	18.943415	38.790401	26.709776	34.072613	26.718088	19.741409	6.850912	6.318084	7.057621
ABHD14A-ACY1	22.816177	24.666656	30.352495	26.380005	10.017874	3.276961	19.284304	14.814808	57.388931	50.077118	6.505780	52.962303	23.185144	33.624702	25.338787	27.836359	82.525505	8.679573	26.698055	6.236692	3.913741	6.025722
ABHD14B	82.969833	78.923141	86.004494	69.718575	63.612720	4.914652	93.383621	101.426628	100.428833	130.016953	192.544144	111.606010	160.077393	103.856499	107.687248	132.411163	82.106735	145.217468	124.597610	14.832999	10.248508	12.860325
ABHD15	4.922423	14.778786	6.082750	4.593147	4.224119	1.674351	3.675827	2.881792	5.121928	4.631431	2.465298	22.943184	12.238529	56.936840	15.433424	10.864130	1.718755	12.890732	3.125980	7.609114	5.756450	6.327354
ABHD16A	115.463371	68.137100	154.219559	120.700302	144.480637	6.471140	82.824722	81.547295	89.140633	125.426674	183.995529	99.538826	204.892502	96.864700	93.896973	81.513161	135.070709	100.556061	109.596451	13.761677	10.981260	12.728846
ABHD16B	0.339202	1.020543	3.233002	9.330001	0.611335	3.271999	0.856484	1.637607	0.965387	0.284201	2.072808	0.628129	2.887912	2.120975	0.914471	1.115737	14.716389	1.687162	0.447331	0.974821	0.827572	0.778902
ABHD17A	14.312077	16.269735	23.591236	27.997025	8.984185	3.949517	26.922678	13.273178	23.607605	34.248051	50.790913	25.922604	30.155083	20.422985	26.636021	11.648706	21.788364	21.418350	35.993343	5.977917	3.854104	4.481953
ABHD17B	8.716784	23.806543	24.398949	49.626835	13.353389	3.562072	31.623472	16.724134	16.375069	17.784739	39.756252	25.611122	20.288589	42.063980	25.039257	29.564674	6.951517	34.804012	21.594501	7.489556	5.925967	5.794211
ABHD18	48.975712	46.210625	12.885427	42.831882	90.552597	1.628129	11.836529	34.774395	40.526665	67.366562	32.974056	9.463639	23.565226	42.508663	20.634632	38.114223	70.708168	67.334511	46.750427	6.316314	5.640194	5.173811
ABHD2	20.451971	24.910177	27.397865	30.976259	57.778805	3.103635	12.489593	9.807932	22.200737	34.172546	3.058407	23.541927	26.783270	39.455784	19.460211	19.779402	55.276810	5.718473	13.011596	5.830761	5.168892	6.014862
ABHD3	135.126755	123.721634	54.673157	96.308159	138.912155	4.446842	58.691936	100.122246	164.369446	52.819782	131.846588	79.519844	138.994110	108.709709	46.183365	143.842239	53.330688	230.600159	39.235714	14.928197	13.738637	13.224297
ABHD4	81.458099	63.229980	168.635635	54.578030	57.159111	4.955644	85.908875	75.070206	90.278442	161.220154	103.351410	115.448395	51.132038	153.217270	115.354904	70.829994	202.230408	90.249649	80.201141	15.575418	9.421129	13.427356
ABHD5	91.212608	150.180435	120.977226	128.087311	114.099686	6.075846	210.517822	131.040314	160.322144	63.919666	155.590851	95.920059	137.579834	74.891869	83.026978	123.962219	175.239716	171.063690	122.231499	14.275132	11.758358	12.545496
ABHD6	6.665678	9.898323	8.454634	4.218296	18.558908	0.891152	16.156017	11.325591	11.924840	11.498194	10.687592	20.030499	17.765278	15.769176	2.326518	26.288565	3.730368	18.849079	47.593861	4.588793	3.034863	3.674105
ABHD8	4.972429	11.555286	6.955359	2.045478	4.233649	2.344387	13.950405	7.204052	22.289246	11.004930	1.543864	12.918838	15.415731	6.683091	30.308363	5.388876	2.927408	11.964296	2.530653	5.621985	4.993958	4.975669
ABI1	152.482742	101.294052	193.899445	306.418762	184.887421	5.735815	217.668579	216.346161	182.392166	205.710510	240.224426	251.360428	163.844910	142.046951	107.014984	214.277100	150.348175	248.471924	200.096359	16.160545	13.836830	15.791369
ABI2	16.496315	24.339233	46.618553	18.843916	9.714572	3.735757	39.816753	96.538231	40.007774	34.752197	94.944115	67.870972	12.576516	46.162094	37.320442	39.445110	51.593765	70.100868	36.201080	7.280140	4.770598	6.722766
ABI3BP	0.890071	0.429756	0.280780	0.513482	0.910613	0.690205	10.963200	0.665199	0.266029	0.338585	0.275665	0.613937	0.224816	0.291674	0.215838	0.505014	0.368212	5.771061	0.336327	0.851286	0.993027	0.704363
ABL1	75.861252	54.200912	69.987038	73.295235	70.958588	8.890273	75.537865	119.283180	67.075394	50.203011	62.273293	71.613060	75.946960	52.984936	77.867981	71.786057	61.991512	106.440063	82.373787	11.632042	11.646144	11.040432
ABL2	24.958027	42.356804	21.474848	37.413673	28.954227	2.506123	5.392533	74.429947	51.462807	26.853046	35.330078	40.127090	29.777357	33.331127	9.057091	53.793747	20.731457	42.922760	6.057713	4.905383	5.032030	5.686021
ABLIM3	3.644809	15.740846	6.520574	1.592866	0.166126	0.905025	0.312284	0.445885	1.092054	1.660516	4.265268	0.695751	0.966461	6.694338	1.910413	1.506118	0.393464	3.934438	0.882023	4.430335	2.390277	2.642069
ABO	1.475902	8.748715	5.642351	0.782785	0.944255	0.958260	0.308237	9.519507	8.400665	1.492495	2.030563	9.107377	7.850196	3.811913	1.613912	1.850887	0.429167	2.984725	6.577984	1.777463	1.413255	1.600668
ABR	0.714447	1.047289	5.384265	0.476447	0.114786	0.831292	0.145950	0.220733	2.778239	1.441690	0.740231	0.757356	1.154412	2.243384	0.744229	12.908092	0.355629	0.857129	0.562418	2.027125	1.141768	2.319049
ABRACL	14.211819	9.742828	35.680717	17.801588	15.055891	5.063045	63.235348	52.764000	58.574455	31.179176	24.549194	43.570538	57.007908	29.877357	44.845783	46.029778	41.833107	44.544769	63.123581	6.579907	4.990687	5.920874
ABRAXAS1	112.799583	53.360668	80.074883	55.823097	118.699959	4.743931	219.794815	134.503769	64.156929	76.284866	120.233124	73.317673	36.151672	97.126892	76.506714	52.131840	68.372314	116.020180	103.209579	14.294041	12.946171	12.466952
ABRAXAS2	51.558979	52.651932	61.174294	29.671707	25.263853	4.062146	85.873032	82.509644	47.043011	100.486847	72.164955	57.539856	75.289345	75.078079	48.800945	97.449722	79.833473	96.019180	69.112122	11.753436	7.058371	9.571163
ABT1	268.776764	298.947723	227.995865	200.848190	275.085144	7.328824	174.609131	207.211639	307.036285	291.036865	368.482361	235.299423	337.421997	259.367554	219.795029	227.100815	295.015228	229.279938	201.664963	23.462578	17.873363	21.238148
ABTB1	0.427812	0.398629	0.381540	0.115983	0.505855	0.710767	0.120106	2.092402	6.290769	2.509386	13.897953	0.232012	6.496601	0.291318	0.420788	1.745273	0.472823	0.655972	1.268077	0.590193	0.426087	0.502524
ABTB2	0.024141	0.033345	0.010975	0.010233	0.027104	0.594969	0.012435	0.011628	0.018245	0.007918	0.047741	0.027458	3.208345	0.022811	0.019759	0.027665	0.021395	0.033687	0.066435	0.138922	0.123991	0.104685
ACAA1	106.367355	133.333084	102.714294	88.457100	62.866272	6.537835	167.843430	75.454742	78.104080	127.593849	185.288010	60.597710	125.377281	50.997375	151.019119	89.792961	48.331093	66.346939	142.479752	14.256334	11.860267	13.251048
ACAA2	262.183228	188.292847	151.673035	155.453873	177.582748	5.952681	125.079605	159.071014	302.382080	255.489655	434.907471	165.034637	301.213837	216.579529	219.731110	231.964584	174.273926	350.484955	278.834534	24.531700	17.896399	20.138086
ACACA	96.459732	67.506767	52.340557	54.520767	42.360317	4.713244	13.301697	52.135021	51.563713	77.472099	209.810898	92.866875	131.182358	39.316319	108.659340	64.811440	58.755051	67.824188	55.788185	10.276598	8.899018	11.683015
ACACB	0.021971	0.062480	0.059725	0.069145	0.044467	0.634321	0.148763	0.076084	0.080013	0.035943	0.018714	0.607210	0.055321	0.029122	0.037942	0.386945	3.615154	0.068425	0.022404	0.102135	0.098079	0.199004
ACAD10	37.317371	5.667732	8.134408	2.142454	21.564594	0.920665	12.923529	6.172581	6.560868	37.580986	4.876071	23.474199	8.665850	5.520310	2.619457	12.902744	25.144283	5.590835	35.106575	3.109635	2.325842	3.963612
ACAD11	8.597083	2.183226	4.604397	5.960706	10.515917	1.617572	9.194875	5.450907	0.709347	6.093403	3.805439	45.247498	18.666485	12.237679	4.003666	43.822247	1.496710	4.044535	3.337504	3.235793	3.824286	6.132301
ACAD8	55.441872	70.687202	15.396712	74.735504	75.371429	2.431139	15.357733	31.098032	53.971504	85.427948	58.018471	68.891579	57.279518	42.834568	47.437981	82.812874	61.574501	62.454483	37.008617	7.012352	6.896170	8.261671
ACAD9	12.524111	26.646896	40.856625	56.241398	16.542755	2.298562	45.653584	25.400223	10.897632	44.377060	54.099319	23.920349	27.176449	9.399001	12.110449	49.896492	92.078163	40.790817	125.439110	4.011380	2.600661	3.758238
ACADM	782.192810	730.381775	790.437744	737.311646	686.588745	9.433255	600.931763	876.095459	841.271362	885.973755	879.518921	786.736938	755.520264	677.981323	694.883057	863.745056	812.933105	899.737488	664.472412	42.783779	33.661118	41.912025
ACADS	22.291962	29.712049	42.422260	30.491793	8.593801	2.663365	16.813745	15.722077	15.814232	60.485497	18.958641	48.844604	67.338593	50.576809	36.588573	50.963291	78.696198	38.412865	76.501785	8.365184	4.109923	6.708827
ACADSB	47.759727	40.774727	73.187424	78.462013	23.840624	7.735796	119.817101	43.985592	82.642853	23.069275	36.309181	84.775192	34.392933	53.772923	57.718750	47.583130	53.240730	42.097908	21.439159	11.467039	10.043319	11.313704
ACADVL	177.265152	285.143829	204.085724	163.698029	96.409286	6.547891	166.778534	137.501846	172.537109	205.994965	270.259064	339.022034	274.106537	255.369064	236.774277	212.154053	157.128510	328.385284	181.659607	25.567329	17.568235	22.825937
ACAN	0.018560	0.018348	0.009869	0.007357	0.022495	0.496188	0.010964	0.010087	0.013594	0.005898	0.026412	0.021680	1.059755	0.017717	0.013867	0.019106	0.015244	0.020342	0.035350	0.114146	0.110626	0.092065
ACAP1	0.398063	0.440214	8.497315	0.371167	0.173873	0.472409	0.365072	0.647866	2.369833	0.207204	0.276626	1.254097	0.102682	1.975432	0.105794	0.187229	0.615137	11.141862	0.271229	1.472580	0.765983	0.736312
ACAP2	306.010803	429.441376	208.644318	240.097992	279.371155	5.892824	296.744934	264.952667	306.516235	290.957092	339.130524	316.484772	296.964050	270.967621	280.698975	314.342010	346.363037	379.118591	363.870178	25.748413	19.834648	23.675152
ACAP3	5.356853	2.241837	5.938804	8.207518	6.348332	1.582323	1.095533	6.047682	1.908355	12.355116	9.148401	0.691317	18.821842	2.956526	3.854012	3.077202	0.397773	2.090850	6.588442	2.374031	2.731078	1.899275
