	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
AKR1C8P	0.046894	0.013333	0.022765	0.031249	0.058173	0.678160	2.455199	0.035616	0.013342	0.010823	0.008738	0.028483	0.008278	0.007889	0.015395	0.024534	0.067322	0.014872	0.009282	0.101119	0.160927	0.130391
AKR1E2	32.587879	25.362522	17.772425	25.241240	5.480848	5.365171	22.225359	8.676969	17.048996	15.434606	13.800227	8.301536	25.793163	39.835640	14.652037	12.470707	5.369043	25.696384	2.758343	10.839045	7.934213	6.783927
AKR7A2	210.039230	266.316101	274.250610	242.559998	237.570221	7.057592	208.656067	239.651794	240.592743	287.546906	402.604370	226.690887	397.506348	291.489777	288.321960	274.225616	351.135681	302.427643	275.617310	25.087648	17.666252	21.402262
AKR7A3	0.028303	0.066132	0.072077	0.770374	0.053979	0.346678	0.075942	0.054357	0.028095	0.107643	0.034858	1.297666	0.100811	0.070497	0.050370	2.250479	0.074534	0.072316	0.025123	0.149016	0.203344	0.389998
AKR7L	4.997701	0.121288	0.986945	0.244091	3.856782	1.472995	0.934261	0.684017	0.333929	0.244976	6.701482	8.979378	0.601168	1.544235	0.166737	0.334945	0.166965	0.289479	0.338276	0.938419	1.234346	1.438962
AKT1	67.720459	74.506111	110.004730	86.066360	79.251083	5.193147	104.311966	127.894760	83.030777	106.488693	129.791473	83.795074	104.811600	98.106941	101.817482	63.443352	31.698330	103.724655	100.163742	14.539245	12.116794	11.886565
AKT1S1	1.624733	2.811515	10.747568	14.845551	2.011008	1.989563	7.351598	6.287368	1.299176	5.874206	4.638326	2.675398	7.847823	1.578871	11.743496	12.731425	1.280528	7.001591	12.042410	1.962151	2.118130	2.387319
AKT2	11.081703	11.358306	5.436911	10.355554	9.362776	0.595566	2.283210	1.860243	1.833949	11.650385	7.661263	9.279060	16.071077	19.832649	4.972630	18.188282	5.383596	36.184193	24.844282	5.216112	3.357012	4.105265
AKT3	0.215003	18.638330	0.645942	1.142067	0.153513	1.266639	0.448993	0.334264	0.411774	1.615761	0.221855	1.195559	1.088734	3.532619	18.887348	2.428812	0.452566	0.778737	0.183064	1.762378	1.589517	1.929525
AKTIP	19.059507	18.460968	44.157566	53.170631	18.756828	3.204115	20.576290	50.732262	81.134415	11.781394	4.697105	24.642199	8.407242	62.638084	26.510197	10.959261	34.956322	25.280273	20.453941	7.069885	6.663993	5.491269
ALAD	12.446585	4.264421	33.760288	11.130382	13.799244	5.798001	33.988888	12.932724	21.523434	34.396015	32.442772	10.804518	20.311050	7.433893	31.961998	12.939345	15.244472	4.365271	18.042898	4.297559	3.789614	4.759345
ALAS1	132.182922	67.305626	141.509232	90.596527	87.564812	5.755940	134.307404	67.022987	130.635406	139.990906	212.153137	79.372818	113.652733	140.920364	153.455856	65.793190	157.121628	102.835785	146.791214	17.960276	12.111295	14.166136
ALAS2	31.954691	159.122604	110.261795	65.981689	41.781708	6.867239	214.034668	221.973892	36.868465	56.941349	60.799881	47.903225	34.928181	22.632774	73.260780	62.101246	96.300446	36.745056	114.291954	7.443936	7.235273	7.947060
ALB	0.352785	0.470922	0.307257	0.144457	0.189055	0.357841	0.103993	3.212193	0.265394	1.262726	1.284497	0.375866	1.826802	0.108443	0.341869	0.233907	0.232725	0.583360	26.067244	0.323354	0.279140	0.268296
ALCAM	18.391329	0.085167	0.256509	0.153884	0.791444	0.918950	0.549160	4.665872	0.093522	0.174316	0.314766	0.260638	0.131193	0.073775	0.201466	0.090441	0.162058	0.170830	0.206106	0.460449	1.403363	0.897127
ALDH16A1	9.752950	11.448122	10.207269	2.496141	16.614016	2.428051	17.170303	8.677694	9.902753	8.590652	14.121452	5.678573	4.346478	18.256052	24.883877	3.591490	2.960082	7.254450	6.761786	6.491203	6.080123	5.163424
ALDH18A1	25.860306	29.898493	53.383659	36.691174	28.222139	4.343093	29.088974	74.643799	75.246101	26.060818	69.499275	39.999706	18.864328	10.298052	26.120266	74.386200	32.181774	20.898714	16.472044	4.756140	5.694221	7.432845
ALDH1A1	290.719666	138.276657	237.502838	329.248596	257.235657	6.262763	226.342331	246.348038	281.152161	308.270020	234.903351	298.872467	216.628998	339.669617	216.684372	217.654053	158.737091	281.914398	280.568512	25.844212	20.675053	22.031895
ALDH1A2	394.370056	504.386047	453.700958	449.949188	394.720734	7.928147	362.127014	422.500549	558.338013	530.600647	700.817200	442.404907	628.579407	502.093933	503.846863	500.231140	415.404816	615.977051	582.843933	35.325489	24.922417	29.901472
ALDH1B1	28.261993	19.393976	17.680946	8.154201	33.023254	4.722757	53.473137	39.294926	20.750114	25.730335	51.050266	41.717144	30.393953	26.731226	61.821156	15.792397	51.926517	75.727493	8.193148	7.262770	6.844569	7.326953
ALDH1L1	0.101779	0.095938	0.049304	0.029741	0.048351	0.345863	0.020599	0.025894	0.078887	0.059909	0.373629	0.055306	5.269992	0.054722	0.074464	0.056923	0.066506	0.117170	21.638323	0.302863	0.171839	0.154327
ALDH1L2	114.348541	73.753456	48.774960	81.167145	109.378952	4.279786	81.883209	51.585625	117.835373	84.060448	53.882713	81.658737	64.438263	26.837154	41.792576	56.332462	41.215183	21.413383	46.633034	8.779838	9.247458	10.627151
ALDH2	143.676483	161.613083	116.222397	199.864731	176.994019	8.210540	124.110016	180.175018	132.449738	168.035461	79.207336	188.386536	158.794464	218.261108	158.939163	178.499710	71.225914	150.114853	170.424728	19.744452	18.259926	17.695271
ALDH4A1	27.341850	39.059124	5.925632	25.580915	7.433702	3.192025	41.251606	24.046984	6.746637	38.606998	39.352104	56.164024	42.367439	6.633587	33.997105	15.873000	11.358403	60.014309	20.015064	4.935909	4.587177	5.119552
ALDH5A1	23.232660	12.888199	23.800217	59.926521	40.629608	3.229083	32.944347	51.080181	55.037914	36.172565	17.101162	41.895851	31.219418	12.883556	19.876638	13.511242	3.622657	21.375774	35.194271	5.197026	6.733033	5.266320
ALDH6A1	43.884907	20.688658	13.047874	39.409615	3.080807	2.886847	25.753761	6.454321	3.167601	23.845943	23.180927	27.423162	62.937897	15.392289	14.359986	50.240116	6.291497	30.957108	53.697849	7.829768	5.327335	7.470075
ALDH8A1	0.244333	0.077407	0.181071	0.204195	0.384930	0.422061	0.754202	0.330716	0.122386	0.152226	0.037220	15.657654	0.149593	0.120749	0.063605	0.526138	0.114700	0.083258	0.074247	0.238111	0.384853	0.739010
ALDH9A1	264.154144	277.939178	255.216782	234.208008	208.488678	5.376010	122.285774	274.020782	210.292572	281.930267	214.741577	286.462891	200.293198	191.159668	197.397827	179.405243	205.402939	336.366882	173.593658	21.133465	17.912966	21.407314
ALDOA	520.826721	581.859802	560.338867	573.043823	483.125244	9.731508	481.294281	612.833435	690.428223	678.314087	727.338318	663.789368	652.362183	499.593475	571.838135	635.051880	615.088013	641.884216	513.270142	36.112846	27.562931	34.874859
ALDOC	112.301224	175.817825	271.395111	170.244827	99.129532	6.779166	120.824684	117.650215	198.758011	140.286255	358.862671	185.237488	228.055878	235.328033	133.934113	148.194290	133.498688	160.536407	262.470673	20.923483	13.522992	16.387226
ALG1	7.246745	21.181370	9.402740	7.554572	6.930843	1.431053	21.340109	9.677266	10.602317	13.618576	2.272129	23.771685	12.511092	10.510923	10.103551	13.054770	8.880327	12.609921	33.280846	4.146457	3.018624	3.871247
ALG10	56.108456	37.963070	22.430763	7.855484	13.883129	2.490177	21.122030	11.368420	21.611246	21.237236	20.125927	18.256058	16.532761	24.272654	18.342834	45.517239	64.455872	26.467070	15.428281	7.872729	5.324421	7.763739
ALG10B	5.250188	7.948330	3.397251	10.286972	54.852970	1.643750	9.718227	13.719328	25.679817	9.040468	9.532387	11.733996	9.753989	8.690666	3.812397	20.431536	7.322074	9.749769	3.493453	2.271970	2.989285	2.719660
ALG11	58.746170	61.145889	45.044968	95.776550	162.945801	3.511206	47.619514	85.193474	13.593630	57.699512	110.802345	38.011200	85.290619	58.246941	48.150681	83.133865	18.641375	23.255569	177.087479	8.647141	9.821238	9.455116
ALG12	10.359127	14.096778	4.503298	6.386213	24.840706	2.340426	15.889206	15.331743	3.819723	5.778865	20.559004	5.200385	16.048719	1.575753	6.944427	16.944498	20.269869	7.194221	5.876151	1.898272	2.530335	2.814003
ALG13	62.231766	58.794430	44.520973	127.119926	97.172615	5.150160	68.364914	83.955978	162.657639	63.770432	97.685791	59.245247	73.054375	56.798195	78.449524	80.215561	84.734528	76.147232	104.365005	9.703102	9.680349	9.286295
ALG14	41.240891	18.068926	33.806168	34.938225	45.498901	5.832084	45.786430	66.370071	40.313976	24.071392	76.740257	81.100258	53.808357	54.503479	44.247810	27.675825	95.663635	15.785034	21.519854	6.352803	6.154769	7.604009
ALG1L	22.924658	20.855131	2.718638	12.837757	3.163147	3.323763	8.874481	13.347290	14.140292	3.859607	18.457127	12.895220	13.926046	4.856326	10.586542	20.852825	9.952007	12.063643	6.440237	3.400377	3.984843	4.219288
