gene_id	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
ABCC6P2	0.00	0.00	3.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.52	2.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC8	0.00	0.87	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ABCC9	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.09
ABCD1	0.09	0.12	0.14	0.50	0.37	0.00	0.14	0.22	0.22	0.31	0.52	0.08	0.00	0.17	0.58	0.80	0.00	0.20	0.00	0.00	0.00	0.00
ABCD2	2.55	0.00	0.00	0.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00
ABCD3	17.44	5.03	14.55	26.62	7.06	0.00	5.81	25.44	9.22	3.82	7.48	22.49	18.10	2.75	34.87	1.08	11.51	0.00	40.44	8.97	18.53	23.90
ABCD4	0.87	10.20	4.67	6.00	4.12	0.00	2.85	2.35	3.50	10.60	6.62	6.20	0.63	0.24	1.46	7.43	10.67	0.00	5.39	12.78	5.82	2.04
ABCE1	87.11	98.33	79.34	102.38	108.57	0.00	102.03	80.44	85.35	79.04	53.57	59.65	43.55	58.92	85.44	70.81	83.14	54.98	80.87	68.04	115.85	142.39
ABCF1	39.28	29.95	35.68	35.31	42.85	0.00	31.14	26.48	37.28	48.42	47.11	34.69	34.13	40.29	23.40	46.01	44.57	32.28	48.66	2.81	24.79	30.89
ABCF2	24.18	17.20	28.27	26.14	36.67	0.00	59.94	22.30	21.74	41.79	75.74	36.08	48.54	70.25	44.82	31.92	55.57	58.61	51.38	55.40	65.62	87.86
ABCF3	12.80	0.17	14.41	2.46	7.56	0.00	13.95	7.95	7.31	7.87	13.04	6.82	14.60	10.84	5.25	12.20	11.00	13.96	8.23	18.38	5.97	11.57
