gene_id	SRR8114442	SRR8114443	SRR8114444	SRR8114445	SRR8114446	SRR8114447	SRR8114448	SRR8114449	SRR8114450	SRR8114451	SRR8114452	SRR8114453	SRR8114454	SRR8114455	SRR8114456	SRR8114457	SRR8114458	SRR8114459	SRR8114460	SRR8114461	SRR8114462	SRR8114463
ACADM	230.21	220.67	131.79	169.91	165.97	0.00	131.46	207.28	172.02	121.67	142.23	117.00	90.40	118.35	137.17	178.58	159.15	176.34	172.02	109.64	226.38	183.85
ACADS	5.47	6.62	11.79	7.29	1.93	0.00	4.15	3.97	3.45	15.84	3.99	12.42	15.73	14.67	9.10	13.79	20.29	8.76	19.52	20.42	6.11	8.50
ACADSB	4.04	3.18	6.09	6.61	1.69	0.00	11.11	3.71	6.62	1.73	2.52	6.58	2.49	4.91	5.25	3.79	4.18	2.94	1.63	2.17	4.18	1.86
ACADVL	42.99	69.91	50.94	35.15	19.86	0.00	44.60	25.19	35.45	42.80	51.99	89.91	52.93	65.11	70.05	38.35	33.11	67.29	37.95	29.64	26.96	46.28
ACAN	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACAP1	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.00	0.03	0.00	2.09	0.00	0.00	0.00	1.34
ACAP2	23.40	39.95	11.57	15.45	21.27	0.00	24.07	16.26	20.63	17.65	20.07	21.48	14.57	20.19	20.94	22.13	24.29	21.01	26.22	12.63	9.71	9.80
ACAP3	0.62	0.00	0.66	0.97	0.73	0.00	0.14	0.63	0.22	1.36	0.00	0.08	2.17	0.00	0.48	0.37	0.00	0.00	0.79	0.32	0.00	0.55
ACAT1	119.63	112.08	197.46	119.91	128.15	0.00	89.93	179.12	171.61	110.18	164.84	89.30	117.92	118.70	107.40	119.28	218.89	106.04	99.61	183.58	229.28	210.48
ACAT2	164.63	166.98	208.08	139.80	137.53	0.00	164.62	130.78	130.32	145.52	137.84	144.55	150.19	193.09	89.88	153.94	122.79	182.12	145.00	127.24	193.63	226.80
ACBD3	15.54	13.02	13.27	7.37	18.62	0.00	4.87	20.66	16.56	13.38	9.26	8.70	20.71	5.93	14.89	11.11	10.82	18.99	8.95	15.40	13.07	10.35
ACBD3-AS1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.00	5.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17	0.00
ACBD4	0.55	3.26	0.74	0.81	1.97	0.00	2.82	0.00	2.79	6.54	2.39	3.74	1.99	4.13	0.00	3.48	5.08	0.00	1.55	0.00	0.49	1.14
ACBD5	1.91	8.38	7.41	1.92	2.41	0.00	3.88	0.86	3.93	1.50	9.19	4.04	4.41	0.89	8.37	3.56	1.20	0.80	8.20	7.23	3.82	2.71
ACBD6	80.24	59.20	58.08	70.38	49.87	0.00	80.20	58.99	60.97	114.68	89.30	56.89	75.17	66.57	74.46	56.68	58.33	99.81	69.43	67.45	38.95	36.39
ACBD7	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12
ACBD7-DCLRE1CP1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACCS	6.42	6.88	3.00	2.59	5.26	0.00	3.45	1.30	3.89	10.87	10.88	6.07	4.46	19.46	14.93	12.77	4.64	4.85	0.81	7.30	1.47	6.12
ACCSL	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACD	9.62	14.58	13.04	16.41	12.90	0.00	9.36	10.24	11.75	23.58	19.21	12.37	13.88	9.82	32.09	25.15	6.48	12.25	15.40	12.29	13.25	14.54
ACE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACE2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.88	0.00	0.00	0.00	0.00	0.12
ACER1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACER2	0.47	0.00	0.70	0.00	0.16	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.11	0.00	4.63	0.00	0.00	0.00	0.00	0.00
ACER3	2.96	3.88	6.27	3.61	3.61	0.00	6.81	2.17	5.73	3.87	0.51	7.22	3.29	5.18	3.44	5.19	9.99	0.15	1.31	4.41	5.97	6.81
ACHE	0.00	0.22	0.00	0.00	1.73	0.00	0.00	0.00	0.64	0.00	2.44	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
ACIN1	4.16	3.88	4.31	5.87	3.59	0.00	2.34	2.95	3.61	4.39	8.21	3.40	3.39	6.24	10.23	3.20	5.09	3.15	3.98	4.63	2.19	3.03
ACKR1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.76	0.00
ACKR2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACKR3	0.00	0.00	0.00	0.00	0.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACKR4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.39	0.17
ACLY	8.75	10.08	21.35	14.14	16.65	0.00	22.99	9.86	10.00	11.64	35.75	19.96	13.03	22.26	23.85	25.44	6.57	19.17	21.01	17.66	8.17	10.99
ACMSD	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACO1	2.37	6.23	7.16	6.99	6.71	0.00	5.63	6.26	3.16	1.28	3.47	1.52	6.13	14.10	7.44	5.39	8.26	0.00	4.18	4.87	8.82	9.00
ACO2	23.01	19.86	45.32	31.22	30.76	0.00	39.92	19.23	31.69	55.91	20.22	36.32	50.98	16.56	54.27	26.47	49.06	46.13	19.92	27.14	26.75	44.04
ACOD1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACOT1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACOT11	0.00	0.00	0.00	2.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACOT12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACOT13	36.88	55.90	49.47	48.45	43.09	0.00	47.45	46.00	44.36	47.85	57.97	46.43	47.89	66.69	50.42	58.65	63.68	44.97	56.90	47.82	65.95	56.24
ACOT2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACOT4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACOT6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ACOT7	26.06	15.71	35.34	19.42	9.81	0.00	17.88	21.41	29.71	36.96	36.44	28.19	26.45	5.93	40.37	26.87	42.20	22.97	33.46	20.40	30.39	52.70
ACOT8	26.79	42.87	58.71	31.76	29.85	0.00	44.35	27.35	47.07	24.20	40.41	56.25	41.40	50.59	44.83	42.00	21.69	36.23	38.88	27.51	25.13	33.45
ACOT9	34.14	48.17	59.98	23.11	35.09	0.00	26.38	29.39	31.48	36.32	51.92	31.81	28.40	27.04	11.59	33.69	27.31	33.38	47.44	110.12	54.03	65.00
